Date : 2024-11-25 11:16:20
Directory : c:\xampp\htdocs\GYM-UPC
Total : 117 files,  67925 codes, 2642 comments, 5948 blanks, all 76515 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\GYM-UPC\paginas\view\tren_superior.php               | PHP        |        572 |          0 |         14 |        586 |
| c:\xampp\htdocs\GYM-UPC\paginas\view\valores.php                     | PHP        |        360 |          0 |         11 |        371 |
| c:\xampp\htdocs\GYM-UPC\php\Activacion.php                           | PHP        |         36 |          4 |          4 |         44 |
| c:\xampp\htdocs\GYM-UPC\php\Activar_Afiliado.php                     | PHP        |         63 |          9 |          5 |         77 |
| c:\xampp\htdocs\GYM-UPC\php\Actividad.php                            | PHP        |         93 |          5 |          4 |        102 |
| c:\xampp\htdocs\GYM-UPC\php\Actualizar_Contraseña.php                | PHP        |         94 |          8 |          7 |        109 |
| c:\xampp\htdocs\GYM-UPC\php\Adm\Buscar.php                           | PHP        |         26 |          7 |          6 |         39 |
| c:\xampp\htdocs\GYM-UPC\php\Adm\Listar.php                           | PHP        |         22 |          4 |         10 |         36 |
| c:\xampp\htdocs\GYM-UPC\php\Adm\asignar_instructor.php               | PHP        |         32 |          8 |          9 |         49 |
| c:\xampp\htdocs\GYM-UPC\php\Adm\capacidad.php                        | PHP        |         35 |          6 |          6 |         47 |
| c:\xampp\htdocs\GYM-UPC\php\Capacidad.php                            | PHP        |         53 |          4 |          2 |         59 |
| c:\xampp\htdocs\GYM-UPC\php\Conexion_bc.php                          | PHP        |         20 |          6 |          2 |         28 |
| c:\xampp\htdocs\GYM-UPC\php\Conexion_json.php                        | PHP        |         15 |          1 |          5 |         21 |
| c:\xampp\htdocs\GYM-UPC\php\Cupos.php                                | PHP        |        194 |         23 |         19 |        236 |
| c:\xampp\htdocs\GYM-UPC\php\Eliminar_cuenta.php                      | PHP        |         36 |          1 |          1 |         38 |
| c:\xampp\htdocs\GYM-UPC\php\Generar_qr.php                           | PHP        |         22 |          2 |          2 |         26 |
| c:\xampp\htdocs\GYM-UPC\php\Instrcutor.php                           | PHP        |         51 |          2 |          4 |         57 |
| c:\xampp\htdocs\GYM-UPC\php\Instructor\Listar.php                    | PHP        |         26 |          5 |          6 |         37 |
| c:\xampp\htdocs\GYM-UPC\php\Leer_QR.php                              | PHP        |         89 |          6 |          5 |        100 |
| c:\xampp\htdocs\GYM-UPC\php\Login.php                                | PHP        |        113 |          8 |         13 |        134 |
| c:\xampp\htdocs\GYM-UPC\php\Registros_usuarios.php                   | PHP        |        148 |         23 |          5 |        176 |
| c:\xampp\htdocs\GYM-UPC\php\Sancion.php                              | PHP        |         41 |          3 |          5 |         49 |
| c:\xampp\htdocs\GYM-UPC\php\Validar_usuario.php                      | PHP        |         50 |          0 |          3 |         53 |
| c:\xampp\htdocs\GYM-UPC\php\Verificacion_fechas.php                  | PHP        |         29 |          0 |          2 |         31 |
| c:\xampp\htdocs\GYM-UPC\php\destruir_sesion.php                      | PHP        |         21 |          6 |          4 |         31 |
| c:\xampp\htdocs\GYM-UPC\php\index\cerrar_sesion.php                  | PHP        |         18 |          0 |          2 |         20 |
| c:\xampp\htdocs\GYM-UPC\php\perfil.php                               | PHP        |        102 |          4 |         13 |        119 |
| c:\xampp\htdocs\GYM-UPC\php\seguimientos.php                         | PHP        |         59 |          8 |          4 |         71 |
| c:\xampp\htdocs\GYM-UPC\php\usuario\Actualizar_cupos.php             | PHP        |         73 |          9 |          5 |         87 |
| c:\xampp\htdocs\GYM-UPC\php\vendor_Recuperarcontraseña.php           | PHP        |         41 |          9 |          5 |         55 |
| c:\xampp\htdocs\GYM-UPC\php\vendor_validar.php                       | PHP        |         35 |          5 |          4 |         44 |
| c:\xampp\htdocs\GYM-UPC\vendor\autoload.php                          | PHP        |         20 |          1 |          5 |         26 |
| c:\xampp\htdocs\GYM-UPC\vendor\composer\ClassLoader.php              | PHP        |        286 |        235 |         59 |        580 |
| c:\xampp\htdocs\GYM-UPC\vendor\composer\InstalledVersions.php        | PHP        |        178 |        133 |         49 |        360 |
| c:\xampp\htdocs\GYM-UPC\vendor\composer\autoload_classmap.php        | PHP        |          6 |          1 |          4 |         11 |
| c:\xampp\htdocs\GYM-UPC\vendor\composer\autoload_namespaces.php      | PHP        |          5 |          1 |          4 |         10 |
| c:\xampp\htdocs\GYM-UPC\vendor\composer\autoload_psr4.php            | PHP        |          6 |          1 |          4 |         11 |
| c:\xampp\htdocs\GYM-UPC\vendor\composer\autoload_real.php            | PHP        |         25 |          4 |         10 |         39 |
| c:\xampp\htdocs\GYM-UPC\vendor\composer\autoload_static.php          | PHP        |         28 |          1 |          8 |         37 |
| c:\xampp\htdocs\GYM-UPC\vendor\composer\installed.json               | JSON       |         90 |          0 |          1 |         91 |
| c:\xampp\htdocs\GYM-UPC\vendor\composer\installed.php                | PHP        |         32 |          0 |          1 |         33 |
| c:\xampp\htdocs\GYM-UPC\vendor\composer\platform_check.php           | PHP        |         21 |          1 |          5 |         27 |
| c:\xampp\htdocs\GYM-UPC\vendor\phpmailer\phpmailer\docs\README.md    | Markdown   |          5 |          0 |          4 |          9 |
| Total                                                                |            |     67,925 |      2,642 |      5,948 |     76,515 |
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
